Asset,Model,Task,MSE,RMSE,MAE,R²,MAPE,Baseline_MSE,Fit_Time_s,Pred_Time_s,Accuracy,F1-Score,Precision,Recall
CBA.AX,enhanced_arima,regression,0.000000 ± 0.000000,0.000000 ± 0.000000,0.000000 ± 0.000000,-0.5891 ± 1.0124,0.0000 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
CBA.AX,lstm,regression,0.000000 ± 0.000000,0.000000 ± 0.000000,0.000000 ± 0.000000,-1.2387 ± 1.2989,0.0000 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
CBA.AX,stockmixer,regression,0.000000 ± 0.000000,0.000000 ± 0.000000,0.000000 ± 0.000000,-2.3071 ± 2.8775,0.0000 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
CBA.AX,xgboost,regression,0.000000 ± 0.000000,0.000000 ± 0.000000,0.000000 ± 0.000000,-0.3315 ± 0.1757,0.0000 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
CBA.AX,lstm,classification,,,,,,,0.000 ± 0.000,0.000 ± 0.000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
CBA.AX,stockmixer,classification,,,,,,,0.000 ± 0.000,0.000 ± 0.000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
CBA.AX,xgboost,classification,,,,,,,0.000 ± 0.000,0.000 ± 0.000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
BHP.AX,arima,regression,0.000000 ± 0.000000,0.000000 ± 0.000000,0.000000 ± 0.000000,-0.9268 ± 1.5650,0.0000 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
BHP.AX,enhanced_arima,regression,0.000000 ± 0.000000,0.000000 ± 0.000000,0.000000 ± 0.000000,-0.8255 ± 1.8297,0.0000 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
BHP.AX,lstm,regression,0.000000 ± 0.000000,0.000000 ± 0.000000,0.000000 ± 0.000000,-2.6356 ± 4.3620,0.0000 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
BHP.AX,stockmixer,regression,0.000000 ± 0.000000,0.000000 ± 0.000000,0.000000 ± 0.000000,-5.7356 ± 12.1568,0.0000 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
BHP.AX,xgboost,regression,0.000000 ± 0.000000,0.000000 ± 0.000000,0.000000 ± 0.000000,-2.5353 ± 3.4040,0.0000 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
BHP.AX,lstm,classification,,,,,,,0.000 ± 0.000,0.000 ± 0.000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
BHP.AX,stockmixer,classification,,,,,,,0.000 ± 0.000,0.000 ± 0.000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
BHP.AX,xgboost,classification,,,,,,,0.000 ± 0.000,0.000 ± 0.000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
